"ID","pid","MATINH","Urban_Rural","age","C1","C2","TOTAL_HH_member","assets_1","assets_2","assets_3","assets_4","assets_5","assets_6","assets_7","assets_8","assets_9","assets_10","assets_11","assets_12","assets_13","assets_14","assets_15","assets_16","assets_17","assets_18","assets_19","C9","C10"
"010090034307239",3,1,1,36,1,2,4,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,2,1
"010090034307240",2,1,1,19,1,4,4,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,
"010160040001102",1,1,2,44,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010160040001103",2,1,2,59,1,2,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010160040001116",5,1,2,36,1,2,5,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010160040001119",5,1,2,64,1,3,6,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,
"010160040001122",6,1,2,39,1,2,8,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010160040001123",1,1,2,54,1,2,2,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,
"010160040001125",1,1,2,21,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010160040001126",4,1,2,40,1,2,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010160040001127",2,1,2,43,1,2,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010160040001130",3,1,2,46,1,1,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010160040001131",3,1,2,27,1,2,4,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010160040001132",3,1,2,36,1,1,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010160040001137",5,1,2,48,1,4,6,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,
"010160040001138",2,1,2,62,1,2,2,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010160040001140",5,1,2,61,1,3,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,
"010170047202216",1,1,2,50,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010170047202222",3,1,2,27,1,3,6,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,
"010170047202223",4,1,2,46,1,3,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010170047202225",3,1,2,25,1,4,6,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010170047202226",3,1,2,38,1,3,4,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010170047202227",3,1,2,52,1,3,3,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010170047202228",5,1,2,41,1,5,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010170047202229",1,1,2,63,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010170047202230",2,1,2,62,1,2,3,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010170047202231",3,1,2,59,1,4,4,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010170047202232",5,1,2,41,1,2,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010170047202233",8,1,2,48,1,5,8,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010170047202237",5,1,2,56,1,3,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010170047202238",7,1,2,53,1,5,7,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010170047202240",5,1,2,61,1,3,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180052600901",3,1,1,53,1,2,3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180052600903",1,1,1,40,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600905",2,1,1,50,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180052600909",1,1,1,16,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,
"010180052600910",1,1,1,58,1,2,2,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600915",4,1,1,49,1,2,4,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600916",3,1,1,31,1,2,4,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,
"010180052600917",2,1,1,48,1,3,3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,
"010180052600921",4,1,1,32,1,2,6,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600922",6,1,1,51,1,5,7,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600923",3,1,1,39,1,2,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600924",5,1,1,63,1,4,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052600925",1,1,1,21,1,3,3,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010180052600927",3,1,1,63,1,3,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052600933",4,1,1,54,1,4,5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,
"010180052900821",3,1,2,39,1,4,4,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,
"010180052900822",1,1,2,27,1,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,
"010180052900823",2,1,2,45,1,3,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052900824",5,1,2,29,1,4,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180052900825",1,1,2,19,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,
